surface,method,noise,progress
HIP,Plain GAD dt=.003,0.01,141.0
HIP,Plain GAD dt=.003,0.01,141.0
HIP,Plain GAD dt=.003,0.01,141.0
HIP,Plain GAD dt=.003,0.01,142.0
HIP,Plain GAD dt=.003,0.01,142.0
HIP,Plain GAD dt=.003,0.01,142.0
HIP,Plain GAD dt=.003,0.01,143.0
HIP,Plain GAD dt=.003,0.01,143.0
HIP,Plain GAD dt=.003,0.01,146.0
HIP,Plain GAD dt=.003,0.01,148.0
HIP,Plain GAD dt=.003,0.01,149.0
HIP,Plain GAD dt=.003,0.01,149.0
HIP,Plain GAD dt=.003,0.01,151.0
HIP,Plain GAD dt=.003,0.01,152.0
HIP,Plain GAD dt=.003,0.01,152.0
HIP,Plain GAD dt=.003,0.01,153.0
HIP,Plain GAD dt=.003,0.01,154.0
HIP,Plain GAD dt=.003,0.01,154.0
HIP,Plain GAD dt=.003,0.01,154.0
HIP,Plain GAD dt=.003,0.01,154.0
HIP,Plain GAD dt=.003,0.01,155.0
HIP,Plain GAD dt=.003,0.01,155.0
HIP,Plain GAD dt=.003,0.01,155.0
HIP,Plain GAD dt=.003,0.01,156.0
HIP,Plain GAD dt=.003,0.01,157.0
HIP,Plain GAD dt=.003,0.01,157.0
HIP,Plain GAD dt=.003,0.01,158.0
HIP,Plain GAD dt=.003,0.01,158.0
HIP,Plain GAD dt=.003,0.01,159.0
HIP,Plain GAD dt=.003,0.01,159.0
HIP,Plain GAD dt=.003,0.01,160.0
HIP,Plain GAD dt=.003,0.01,161.0
HIP,Plain GAD dt=.003,0.01,161.0
HIP,Plain GAD dt=.003,0.01,161.0
HIP,Plain GAD dt=.003,0.01,161.0
HIP,Plain GAD dt=.003,0.01,161.0
HIP,Plain GAD dt=.003,0.01,162.0
HIP,Plain GAD dt=.003,0.01,162.0
HIP,Plain GAD dt=.003,0.01,163.0
HIP,Plain GAD dt=.003,0.01,164.0
HIP,Plain GAD dt=.003,0.01,165.0
HIP,Plain GAD dt=.003,0.01,166.0
HIP,Plain GAD dt=.003,0.01,167.0
HIP,Plain GAD dt=.003,0.01,167.0
HIP,Plain GAD dt=.003,0.01,169.0
HIP,Plain GAD dt=.003,0.01,169.0
HIP,Plain GAD dt=.003,0.01,170.0
HIP,Plain GAD dt=.003,0.01,170.0
HIP,Plain GAD dt=.003,0.01,170.0
HIP,Plain GAD dt=.003,0.01,170.0
HIP,Plain GAD dt=.003,0.01,171.0
HIP,Plain GAD dt=.003,0.01,171.0
HIP,Plain GAD dt=.003,0.01,171.0
HIP,Plain GAD dt=.003,0.01,171.0
HIP,Plain GAD dt=.003,0.01,172.0
HIP,Plain GAD dt=.003,0.01,172.0
HIP,Plain GAD dt=.003,0.01,172.0
HIP,Plain GAD dt=.003,0.01,173.0
HIP,Plain GAD dt=.003,0.01,175.0
HIP,Plain GAD dt=.003,0.01,175.0
HIP,Plain GAD dt=.003,0.01,176.0
HIP,Plain GAD dt=.003,0.01,177.0
HIP,Plain GAD dt=.003,0.01,177.0
HIP,Plain GAD dt=.003,0.01,178.0
HIP,Plain GAD dt=.003,0.01,178.0
HIP,Plain GAD dt=.003,0.01,179.0
HIP,Plain GAD dt=.003,0.01,181.0
HIP,Plain GAD dt=.003,0.01,181.0
HIP,Plain GAD dt=.003,0.01,183.0
HIP,Plain GAD dt=.003,0.01,184.0
HIP,Plain GAD dt=.003,0.01,185.0
HIP,Plain GAD dt=.003,0.01,185.0
HIP,Plain GAD dt=.003,0.01,185.0
HIP,Plain GAD dt=.003,0.01,187.0
HIP,Plain GAD dt=.003,0.01,187.0
HIP,Plain GAD dt=.003,0.01,188.0
HIP,Plain GAD dt=.003,0.01,189.0
HIP,Plain GAD dt=.003,0.01,190.0
HIP,Plain GAD dt=.003,0.01,191.0
HIP,Plain GAD dt=.003,0.01,193.0
HIP,Plain GAD dt=.003,0.01,194.0
HIP,Plain GAD dt=.003,0.01,194.0
HIP,Plain GAD dt=.003,0.01,194.0
HIP,Plain GAD dt=.003,0.01,196.0
HIP,Plain GAD dt=.003,0.01,197.0
HIP,Plain GAD dt=.003,0.01,198.0
HIP,Plain GAD dt=.003,0.01,199.0
HIP,Plain GAD dt=.003,0.01,200.0
HIP,Plain GAD dt=.003,0.01,202.0
HIP,Plain GAD dt=.003,0.01,203.0
HIP,Plain GAD dt=.003,0.01,206.0
HIP,Plain GAD dt=.003,0.01,206.0
HIP,Plain GAD dt=.003,0.01,207.0
HIP,Plain GAD dt=.003,0.01,209.0
HIP,Plain GAD dt=.003,0.01,210.0
HIP,Plain GAD dt=.003,0.01,211.0
HIP,Plain GAD dt=.003,0.01,211.0
HIP,Plain GAD dt=.003,0.01,211.0
HIP,Plain GAD dt=.003,0.01,211.0
HIP,Plain GAD dt=.003,0.01,213.0
HIP,Plain GAD dt=.003,0.01,214.0
HIP,Plain GAD dt=.003,0.01,215.0
